@relation car_v3-weka.filters.unsupervised.attribute.Remove-R1

@attribute buying numeric
@attribute maint numeric
@attribute doors numeric
@attribute persons numeric
@attribute lug_boot numeric
@attribute safety numeric
@attribute class {unacc,acc,good,vgood}

@data
28.51,5.19,2,4,372,2,unacc
47.34,5.2,3,2,679,1,unacc
29.58,5.2,4,2,165,1,unacc
12.89,5.2,2,2,181,3,unacc
12.14,5.2,3,6,632,1,unacc
46.76,5.21,4,6,385,1,unacc
20.2,5.22,3,2,166,3,unacc
54.46,5.22,3,4,187,3,unacc
31.45,5.23,2,6,415,2,unacc
26.81,5.23,3,2,561,1,unacc
29.39,5.24,5,6,635,3,unacc
20.76,5.24,5,6,174,1,unacc
27.7,5.24,5,4,418,3,unacc
46.44,5.24,3,2,165,3,unacc
52.28,5.25,2,4,605,1,unacc
52.75,5.25,5,2,394,1,unacc
19.41,5.26,5,6,676,1,unacc
29.48,5.26,4,6,611,1,unacc
29.99,5.26,4,2,624,2,unacc
12.29,5.27,5,4,536,1,unacc
49.52,5.27,3,4,565,2,unacc
10.31,5.27,3,2,491,1,unacc
31.23,5.28,5,2,400,1,unacc
19.83,5.28,3,2,491,1,unacc
20.21,5.28,2,6,386,2,unacc
33.3,5.28,3,2,165,1,unacc
29.39,5.28,3,4,593,1,unacc
11.44,5.29,5,2,632,2,unacc
19.82,5.29,2,2,163,3,unacc
11.07,5.29,2,6,497,1,unacc
29.19,5.29,5,6,646,2,unacc
10.58,5.3,4,6,276,3,acc
18.54,5.3,2,2,168,2,unacc
21.27,5.31,5,4,463,3,acc
19.74,5.31,5,2,571,3,unacc
21.9,5.32,2,4,213,2,unacc
33.77,5.32,2,6,383,1,unacc
11.22,5.32,3,6,591,2,acc
40.56,5.32,5,2,631,3,unacc
30.18,5.33,4,4,221,2,unacc
11.5,5.33,4,6,403,2,acc
52.91,5.33,3,4,393,3,unacc
22.11,5.33,5,2,183,3,unacc
44.72,5.34,2,4,144,2,unacc
20.17,5.34,4,4,140,2,unacc
48.63,5.34,4,4,619,3,unacc
27.44,5.34,3,6,231,2,unacc
17.61,5.34,4,4,589,2,acc
30.22,5.35,4,4,398,2,unacc
18.79,5.35,4,2,331,2,unacc
11.86,5.35,3,2,571,3,unacc
29.24,5.36,4,4,601,3,unacc
31.28,5.36,5,4,261,1,unacc
30.01,5.36,4,6,429,3,unacc
21.23,5.37,3,4,219,2,unacc
46.46,5.37,2,4,619,3,unacc
18.66,5.37,5,4,212,1,unacc
28.96,5.38,5,6,549,1,unacc
12.36,5.38,5,6,145,1,unacc
29.96,5.38,2,6,586,2,unacc
11.34,5.38,5,6,451,2,acc
31.59,5.39,3,4,423,2,unacc
12.27,5.39,5,4,592,3,acc
53.91,5.4,3,2,620,2,unacc
21.85,5.4,2,4,387,3,acc
33.81,5.4,4,2,611,1,unacc
10.42,5.41,4,4,173,2,unacc
10.62,5.41,2,6,215,1,unacc
46.73,5.41,4,2,222,1,unacc
29.02,5.42,2,4,108,1,unacc
47.8,5.42,2,6,411,2,unacc
28.48,5.43,3,2,147,3,unacc
11.34,5.43,2,4,619,2,acc
28.51,5.44,3,4,204,3,unacc
12.6,5.44,2,2,349,2,unacc
53.03,5.44,3,6,154,2,unacc
54.82,5.44,5,4,200,1,unacc
13.88,5.44,2,4,213,1,unacc
20.56,5.44,3,4,202,3,acc
21.81,5.45,4,2,223,2,unacc
11.6,5.45,2,6,644,3,acc
31.38,5.45,3,4,623,2,unacc
52.12,5.45,5,4,576,1,unacc
22.57,5.45,4,6,383,2,acc
31.46,5.46,4,4,602,2,unacc
44.92,5.46,2,6,438,1,unacc
30.42,5.46,5,6,433,3,unacc
11.69,5.46,4,2,418,2,unacc
12.9,5.46,5,4,463,2,acc
54.51,5.46,4,6,382,3,unacc
20.96,5.46,4,2,586,2,unacc
30.8,5.46,3,6,186,3,unacc
52.72,5.47,4,2,400,1,unacc
16.14,5.47,5,6,413,2,acc
20.03,5.47,5,4,618,3,acc
12.22,5.47,5,2,408,2,unacc
42.73,5.48,2,4,407,2,unacc
13.76,5.48,5,4,247,3,acc
43.77,5.48,5,4,584,2,unacc
21.28,5.48,5,2,384,2,unacc
55.6,5.48,5,2,601,1,unacc
11.22,5.48,3,2,210,1,unacc
20.22,5.49,2,6,268,2,unacc
12.68,5.49,5,6,163,3,acc
12.13,5.49,2,2,343,1,unacc
19.19,5.49,2,4,553,2,acc
12.55,5.49,3,4,407,1,unacc
50.14,5.5,3,4,443,1,unacc
27.63,5.5,4,6,210,2,unacc
31.96,5.5,2,6,623,3,unacc
29.96,5.51,3,4,392,3,unacc
20.25,5.51,3,6,154,1,unacc
20.11,5.51,3,6,213,3,acc
53.95,5.51,3,6,625,2,unacc
16.69,5.51,3,4,364,1,unacc
20.95,5.52,2,2,411,2,unacc
51.99,5.52,4,4,411,1,unacc
12.15,5.52,2,6,187,2,unacc
48.09,5.53,5,4,431,3,unacc
9.39,5.53,3,2,604,2,unacc
49.13,5.53,2,6,190,1,unacc
30.51,5.53,4,2,376,2,unacc
12.33,5.53,4,6,320,1,unacc
29.37,5.54,5,6,405,1,unacc
12.03,5.54,4,2,643,2,unacc
31.15,5.54,3,4,177,1,unacc
44.93,5.54,5,6,341,1,unacc
32.4,5.55,2,2,155,2,unacc
10.3,5.55,2,2,374,3,unacc
11.14,5.55,4,2,149,3,unacc
51.74,5.55,3,2,643,3,unacc
11.59,5.55,4,2,624,3,unacc
19.19,5.55,3,2,215,1,unacc
28.32,5.55,2,6,193,3,unacc
49.05,5.56,4,4,246,2,unacc
45.89,5.56,5,2,610,2,unacc
46.06,5.56,4,4,192,3,unacc
30.87,5.57,4,2,223,2,unacc
50.87,5.57,5,6,398,3,unacc
11.89,5.57,3,6,370,1,unacc
10.94,5.57,3,4,587,3,acc
21.14,5.57,2,6,408,3,acc
29.31,5.57,5,4,574,3,unacc
52.68,5.58,3,2,190,2,unacc
10.84,5.58,3,4,577,2,acc
28.25,5.58,5,2,158,1,unacc
20.03,5.58,3,6,655,3,acc
29.07,5.58,4,4,648,1,unacc
21.8,5.59,3,4,550,2,acc
22.51,5.59,4,6,183,1,unacc
21.1,5.59,5,6,365,3,acc
21.44,5.59,5,6,214,3,acc
31.66,5.59,5,6,229,1,unacc
19.05,5.59,2,6,583,2,acc
53.09,5.6,2,4,147,3,unacc
13.51,5.6,4,6,590,3,acc
11.92,5.6,4,4,650,1,unacc
29.14,5.6,4,2,455,3,unacc
10.82,5.61,5,6,636,3,acc
19.59,5.61,3,6,437,1,unacc
60.64,5.61,4,2,409,3,unacc
45.11,5.62,4,6,633,2,unacc
20,5.62,2,2,264,1,unacc
12.38,5.62,2,6,614,2,acc
47.77,5.63,3,2,377,1,unacc
44.35,5.63,3,2,370,2,unacc
29.86,5.63,2,2,186,1,unacc
52.4,5.63,3,6,584,3,unacc
19.99,5.64,4,4,567,3,acc
18.86,5.64,4,6,592,3,acc
16.55,5.64,5,2,603,2,unacc
51.08,5.64,3,6,411,1,unacc
11.33,5.65,4,6,599,1,unacc
54.79,5.65,5,2,171,3,unacc
13.33,5.65,4,6,578,2,acc
45.48,5.65,3,4,174,2,unacc
20.33,5.65,5,6,585,2,acc
49.8,5.66,3,2,190,1,unacc
29.38,5.67,3,2,606,3,unacc
27.43,5.68,2,2,410,1,unacc
10.66,5.69,4,2,603,1,unacc
17.33,5.69,4,6,607,1,unacc
20.6,5.69,2,2,431,1,unacc
29.37,5.69,4,6,190,1,unacc
19.13,5.7,4,4,438,1,unacc
29.38,5.7,3,6,409,3,unacc
29.03,5.7,4,4,404,3,unacc
29.72,5.7,5,2,236,3,unacc
28.3,5.71,4,4,357,1,unacc
30.37,5.71,4,2,229,3,unacc
11.7,5.71,3,6,427,3,acc
20.93,5.71,5,4,613,1,unacc
29.11,5.71,5,4,620,1,unacc
29.84,5.71,3,4,394,1,unacc
32.99,5.72,2,2,399,2,unacc
46.07,5.72,4,4,388,2,unacc
17.64,5.72,5,2,182,2,unacc
22.05,5.73,2,4,165,1,unacc
50.83,5.73,4,4,550,1,unacc
57.65,5.73,3,6,230,3,unacc
30.04,5.73,2,4,590,1,unacc
49.77,5.73,5,4,158,3,unacc
17.33,5.73,3,6,594,2,acc
29.94,5.73,2,2,612,2,unacc
26.72,5.74,3,6,602,3,unacc
17.82,5.74,3,6,209,2,unacc
30.36,5.75,5,6,271,2,unacc
48.77,5.75,5,6,654,1,unacc
12.46,5.75,4,4,354,3,acc
11.33,5.75,5,4,201,2,unacc
56.38,5.75,2,4,633,2,unacc
17.48,5.75,3,6,395,2,acc
12.35,5.76,4,2,412,3,unacc
10.92,5.76,3,4,425,2,unacc
50.48,5.76,4,2,200,3,unacc
50.22,5.76,2,6,249,2,unacc
12.29,5.76,4,4,229,1,unacc
52.88,5.76,2,2,586,1,unacc
26.75,5.76,4,2,652,3,unacc
12.85,5.76,2,6,622,1,unacc
12.41,5.77,3,2,258,2,unacc
30.81,5.77,3,6,436,2,unacc
20.85,5.77,4,2,434,1,unacc
19.54,5.77,5,2,388,1,unacc
31.19,5.78,2,2,210,3,unacc
52.34,5.78,2,2,611,2,unacc
11.27,5.79,2,2,638,3,unacc
29.3,5.79,2,2,609,1,unacc
18.18,5.79,3,4,316,3,acc
54.73,5.79,4,6,200,1,unacc
20.72,5.79,3,2,201,2,unacc
30.85,5.8,5,2,401,3,unacc
22.51,5.8,5,2,586,1,unacc
11.5,5.8,5,2,564,1,unacc
20.31,5.8,4,6,237,3,acc
12.11,5.8,3,6,137,2,unacc
28.98,5.8,3,2,403,3,unacc
29.36,5.81,5,2,420,2,unacc
10.08,5.81,5,6,361,1,unacc
32.14,5.81,3,4,185,2,unacc
12.02,5.81,2,4,213,3,acc
48.03,5.82,4,6,194,3,unacc
47.35,5.82,5,6,606,3,unacc
21.13,5.82,5,6,592,3,acc
48.84,5.83,2,6,615,2,unacc
53.85,5.85,3,4,243,1,unacc
19.65,5.86,3,4,169,1,unacc
10.37,5.86,2,2,214,1,unacc
18.56,5.87,3,6,565,1,unacc
11.53,5.87,4,4,408,1,unacc
12.53,5.87,3,6,416,2,acc
20.06,5.87,4,4,558,1,unacc
19.94,5.88,5,4,383,2,acc
31.19,5.88,4,4,156,1,unacc
11.83,5.88,5,2,410,1,unacc
11.51,5.89,3,4,220,1,unacc
28.94,5.89,3,2,648,2,unacc
29.86,5.89,3,6,570,2,unacc
20.77,5.9,5,2,455,3,unacc
28.06,5.9,3,4,620,3,unacc
12.09,5.9,4,4,593,2,acc
54.71,5.91,3,6,594,1,unacc
20.81,5.92,5,2,221,1,unacc
20.64,5.92,2,2,563,1,unacc
57.03,5.94,4,6,241,2,unacc
11.45,5.95,3,4,204,3,acc
17.2,5.95,3,4,626,1,unacc
19.44,5.95,4,6,386,3,acc
19.35,5.96,2,2,436,3,unacc
19.75,5.96,2,6,616,1,unacc
29.72,5.97,3,6,629,1,unacc
12.78,5.97,4,6,199,1,unacc
47.03,5.98,2,2,192,3,unacc
12.73,5.98,5,2,214,3,unacc
12.29,5.98,5,4,229,1,unacc
12.56,5.98,5,4,378,3,acc
16.42,5.99,4,4,172,1,unacc
46.49,5.99,2,4,460,1,unacc
48.47,6,4,2,450,2,unacc
20.88,6.01,2,4,208,3,acc
48.99,6.01,2,4,425,3,unacc
22.16,6.01,4,2,605,1,unacc
43.8,6.03,2,2,199,2,unacc
12.78,6.04,3,4,399,3,acc
21.61,6.04,5,4,219,3,acc
21.6,6.05,2,4,623,1,unacc
31.35,6.06,5,2,632,1,unacc
20.19,6.06,3,4,624,3,acc
12.66,6.06,5,2,383,3,unacc
31.99,6.07,5,4,217,2,unacc
11.64,6.12,4,2,205,2,unacc
30.6,6.13,3,2,389,1,unacc
12.11,6.13,2,6,375,2,unacc
49.71,6.13,5,6,398,2,unacc
50.17,6.14,2,2,400,2,unacc
32.06,6.14,2,4,583,2,unacc
19.78,6.14,3,2,572,1,unacc
19.35,6.14,3,2,368,3,unacc
47.84,6.16,3,4,595,1,unacc
49.01,6.17,4,2,587,1,unacc
20.62,6.19,2,2,590,2,unacc
14.39,6.2,4,6,212,2,unacc
18.52,6.21,3,6,450,3,acc
52.63,6.23,4,4,174,1,unacc
52.52,6.24,3,6,368,2,unacc
49.56,6.25,4,4,629,2,unacc
12.21,6.27,3,6,202,3,acc
11.17,6.29,2,4,410,3,acc
11.72,6.3,4,4,586,3,acc
53.62,6.3,2,2,173,1,unacc
48.78,6.31,5,6,192,1,unacc
50.72,6.32,2,6,363,3,unacc
22.7,6.32,5,6,222,2,unacc
54.57,6.36,2,2,405,3,unacc
11.36,6.38,5,4,623,2,acc
19.16,6.4,2,4,619,3,acc
30.61,6.44,2,6,604,1,unacc
11.51,6.52,2,2,582,2,unacc
21.27,6.56,4,2,426,3,unacc
50.02,6.68,2,6,619,3,unacc
17.68,6.77,4,4,440,3,acc
